eID,gameclock,tID,pID,outcome,timestamp,minute,second,qualifier,segment,team
FreeKick_Play_Pass,626.866,DFL-CLU-00000B,DFL-OBJ-002G8H,,2023-05-27 15:41:35.516000+02:00,10.0,26.0,"{'DecisionTimestamp': '2023-05-27T15:41:18.549+02:00', 'Team': 'DFL-CLU-00000B', 'ExecutionMode': 'direct', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002GAR', 'FromOpenPlay': 'false', 'PlayAngle': '235.97', 'Player': 'DFL-OBJ-002G8H', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '147', 'Distance': 'medium', 'FreeKickLayup': 'false'}",firstHalf,Away
Delete,652.079,,,,2023-05-27 15:42:00.729000+02:00,10.0,52.0,{},firstHalf,Away
Delete,659.115,,,,2023-05-27 15:42:07.765000+02:00,10.0,59.0,{},firstHalf,Away
Offside,668.655,DFL-CLU-00000B,DFL-OBJ-002GOI,,2023-05-27 15:42:17.305000+02:00,11.0,8.0,"{'Player': 'DFL-OBJ-002GOI', 'Team': 'DFL-CLU-00000B'}",firstHalf,Away
Delete,674.331,,,,2023-05-27 15:42:22.981000+02:00,11.0,14.0,{},firstHalf,Away
Delete,700.089,,,,2023-05-27 15:42:48.739000+02:00,11.0,40.0,{},firstHalf,Away
Delete,714.15,,,,2023-05-27 15:43:02.800000+02:00,11.0,54.0,{},firstHalf,Away
GoalKick_Play_Pass,729.778,DFL-CLU-00000B,DFL-OBJ-0026NY,,2023-05-27 15:43:18.428000+02:00,12.0,9.0,"{'DecisionTimestamp': '2023-05-27T15:43:04.987+02:00', 'Team': 'DFL-CLU-00000B', 'PlayOrigin': 'ownHalf', 'Height': 'flat', 'Recipient': 'DFL-OBJ-002GAR', 'FromOpenPlay': 'false', 'PlayAngle': '283.55', 'Player': 'DFL-OBJ-0026NY', 'FlatCross': 'false', 'Evaluation': 'successfullyCompleted', 'PenaltyBox': 'false', 'SemiField': 'false', 'BallPossessionPhase': '170', 'Distance': 'short', 'FreeKickLayup': 'false'}",firstHalf,Away
Foul,815.604,DFL-CLU-00000B,DFL-OBJ-0001UP,,2023-05-27 15:44:44.254000+02:00,13.0,35.0,"{'TeamFouler': 'DFL-CLU-00000B', 'FoulType': 'foul', 'Fouler': 'DFL-OBJ-0001UP', 'Fouled': 'DFL-OBJ-0000YV', 'TeamFouled': 'DFL-CLU-00000S'}",firstHalf,Away
Delete,855.11,,,,2023-05-27 15:45:23.760000+02:00,14.0,15.0,{},firstHalf,Away
